Ijexa - 4/4 - 105,0,4,105,8
Transiçao Ijexa - 6/8 - 210,8,6,210,2
Barravento - 6/8 - 210,9,6,210,4
Barravento seco - 4/4 - 140,9,6,210,2
Retomada barravento - 4/4 - 140,14,4,140,7
Samba - 4/4 - 140,24,4,140,8
XL - 4/4 - 140,32,4,140,31
Salmonela - 4/4 - 140,63,4,140,19
Treansicion - 4/4 - 140,82,4,140,4
Noveoito - 9/8 - 280,86,9,280,14
Retomada - 4/4 - 140,100,4,140,12
Aquarela Chamada - 4/4 - 140,112,4,140,26
Aquarela Solo - 4/4 - 140,138,4,140,26
Bhangra desengatada - 3/4 - 140,164,3,140,3
Bhangra makonha - 4/4 - 187,167,4,187,17
Bhangra Solo - 4/4 - 187,185,4,187,20
Bhangra Resto - 4/4 - 187,185,4,187,14
Samba - 4/4 - 140,218,4,140,7
Tois - 4/4 - 140,224,4,140,37
Samba em 6 - 6/4 - 140,261,6,140,2
Brastemp - 4/4 - 140,263,4,140,19
Jongo - 4/4 - 140,283,4,140,13
Pare - 4/4 - 140,296,4,140,12
Samba - 4/4 - 140,335,4,140,4
N sei - 4/4 - 140,349,4,140,14
Solo pinico - 4/4 - 140,363,4,140,27
Makulele - 4/4 - 140,390,4,140,12
Whiskas - 4/4 - 140 (apito),402,4,140,3
Whiskas LENTO - 4/4 - 93,406,4,93,15
SOLO DE SEXO - 4/4 - 196,421,4,196,16
BLACK HAHAHA - 4/4 - 196,435,4,196,16
Frevo - 4/4 - 196,451,4,196,17
Saksifufu - 4/4 - 140,468,4,140,17
Hunter - 4/4 - 140,485,4,140,31
Samba - 4/4 - 140,485,4,140,6
Bilu intro - 3/4 - 140,523,3,140,5
Bilu - 4/4 - 140 (com samba),527,4,140,29
Makumba - 5/4 - 140,556,5,140,1
Makumba - 4/4 - 140,557,4,140,2
Makumba - 5/4 - 140,559,5,140,1
Makumba - 4/4 - 140,560,4,140,10
Timpanos - 4/4 - 140,570,4,140,16
Caveça - 4/4 - 140,586,4,140,32
Samba - 4/4 - 140,622,4,140,8
Dinossauro - 4/4 - 140,622,4,140,19
CABO - 4/4 - 140,641,4,140,1
