Ijexa - 4/4 - 105,6.29%
Transiçao Ijexa - 6/8 - 210,12.3%
Barravento - 6/8 - 210,8.10%
Barravento seco - 4/4 - 140,2.02%
Retomada barravento - 4/4 - 140,1.30%
Samba - 4/4 - 140,0.09%
XL - 4/4 - 140,2.18%
Salmonela - 4/4 - 140,0.05%
Treansicion - 4/4 - 140,2.13%
Noveoito - 9/8 - 280,1.38%
Retomada - 4/4 - 140,2.97%
Aquarela Chamada - 4/4 - 140,1.95%
Aquarela Solo - 4/4 - 140,1.60%
Bhangra desengatada - 3/4 - 140,6.99%
Bhangra makonha - 4/4 - 187,2.75%
Bhangra Solo - 4/4 - 187,-5.6%
Bhangra Resto - 4/4 - 187,-1.0%
Samba - 4/4 - 140,2.43%
Tois - 4/4 - 140,3.68%
Samba em 6 - 6/4 - 140,2.69%
Brastemp - 4/4 - 140,1.85%
Jongo - 4/4 - 140,1.13%
Pare - 4/4 - 140,5.20%
Samba - 4/4 - 140,4.71%
N sei - 4/4 - 140,5.04%
Solo pinico - 4/4 - 140,0.15%
Makulele - 4/4 - 140,0.98%
Whiskas - 4/4 - 140 (apito),-0.2%
Whiskas LENTO - 4/4 - 93,3.13%
SOLO DE SEXO - 4/4 - 196,-3.0%
BLACK HAHAHA - 4/4 - 196,0.31%
Frevo - 4/4 - 196,-4.1%
Saksifufu - 4/4 - 140,2.89%
Hunter - 4/4 - 140,0.14%
Samba - 4/4 - 140,0.54%
Bilu intro - 3/4 - 140,0.70%
Bilu - 4/4 - 140 (com samba),-0.4%
Makumba - 5/4 - 140,-0.7%
Makumba - 4/4 - 140,-2.0%
Makumba - 5/4 - 140,-2.8%
Makumba - 4/4 - 140,-0.8%
Timpanos - 4/4 - 140,2.48%
Caveça - 4/4 - 140,0.35%
Samba - 4/4 - 140,0.51%
Dinossauro - 4/4 - 140,1.34%
CABO - 4/4 - 140,0.0%
